City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,talnakh,69.4865,88.3972,-1.19,95,99,9.08,RU,1743652724
83,college,64.8569,-147.8028,37.38,85,100,6.91,US,1743652725
84,hermanus,-34.4187,19.2345,62.8,81,0,15.5,ZA,1743652727
85,al burayqah,30.4062,19.5739,59.14,65,1,7.99,LY,1743652728
86,bamboo flat,11.7,92.7167,89.69,66,40,8.05,IN,1743652729
87,badger,64.8,-147.5333,37.65,88,100,6.91,US,1743652730
88,ilam,26.9167,87.9167,82.51,17,2,6.73,NP,1743652731
89,iqaluit,63.7506,-68.5145,-15.07,70,0,13.8,CA,1743652732
90,gazli,40.1333,63.45,70.88,20,5,10.02,UZ,1743652733
91,mont-tremblant,46.1949,-74.6264,25.59,49,100,13.73,CA,1743652658
92,constantia,44.1833,28.65,47.08,82,100,10.92,RO,1743652439
93,vilyuchinsk,52.9306,158.4028,41.27,91,23,5.77,RU,1743652737
94,tindouf,27.6711,-8.1474,55.85,71,0,8.05,DZ,1743652706
95,tsengel,49.4783,100.8894,36.54,20,6,16.28,MN,1743652739
96,pursat,12.3333,103.6667,85.03,53,96,2.53,KH,1743652740
97,remire-montjoly,4.9167,-52.2667,78.84,94,75,8.05,GF,1743652742
98,mizdah,31.4451,12.9801,56.53,55,85,11.56,LY,1743652743
99,invercargill,-46.4,168.35,72.01,70,99,8.01,NZ,1743652496
100,kavaratti,10.5669,72.642,83.64,70,53,4.92,IN,1743652745
101,utrik,11.2278,169.8474,79.99,73,89,20.33,MH,1743652746
102,novyy urengoy,66.0833,76.6333,9.7,92,20,15.05,RU,1743652747
103,bredasdorp,-34.5322,20.0403,60.98,80,0,12.77,ZA,1743652748
104,timaru,-44.4,171.25,68.07,77,44,8.01,NZ,1743652750
105,ciudad lazaro cardenas,17.9583,-102.2,72.55,81,71,2.93,MX,1743652751
106,abadiania,-16.2042,-48.7069,72.52,79,9,1.63,BR,1743652752
107,san antonio de pale,-1.4014,5.6325,81.16,80,100,1.41,GQ,1743652753
108,chibougamau,49.9168,-74.3659,20.82,53,100,12.66,CA,1743652754
109,wasaga beach,44.5168,-80.0164,34.09,96,100,20.69,CA,1743652755
110,mocimboa,-11.3167,40.35,76.3,93,100,5.59,MZ,1743652758
111,narimanov,46.6927,47.8498,60.84,56,100,9.13,RU,1743652759
112,takoradi,4.8845,-1.7554,79.95,81,100,5.68,GH,1743652760
113,senador jose porfirio,-2.5908,-51.9542,73.6,98,100,2.3,BR,1743652761
114,pangody,65.85,74.4859,12.83,89,62,17.56,RU,1743652763
115,aykhal,66.0,111.5,5.59,88,100,17.43,RU,1743652764
116,san pedro pochutla,15.7333,-96.4667,76.71,69,7,4.41,MX,1743652765
117,san ignacio rio muerto,27.4167,-110.2333,61.32,52,27,7.58,MX,1743652766
118,aldinga beach,-35.2793,138.4604,68.67,59,98,13.24,AU,1743652767
119,geraldton,-28.7667,114.6,97.21,12,55,27.63,AU,1743652516
120,malango,-2.9627,119.9001,84.99,54,45,2.17,ID,1743652769
121,sarikei,2.1167,111.5167,86.97,62,78,0.94,MY,1743652771
122,hammerfest,70.6634,23.6821,37.85,75,100,8.05,NO,1743652772
123,hilo,19.7297,-155.09,76.23,87,60,8.75,US,1743652773
124,tvoroyri,61.5556,-6.8111,44.19,61,42,13.24,FO,1743652774
125,vadso,70.0744,29.7487,30.36,86,40,3.44,NO,1743652775
126,porto torres,40.835,8.3972,46.58,69,29,4.85,IT,1743652776
127,port lincoln,-34.7333,135.8667,62.65,59,97,16.62,AU,1743652777
128,tsiombe,-25.3,45.4833,72.75,93,20,3.94,MG,1743652778
